id,title,type,age,description,address,city,state,zip_code,latitude,longitude,sale_price,rent_price,area,rooms,bath_rooms,image_links,owner_id
7,est,Sonsing,40,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.",06 Vahlen Junction,Lakeside,NE,69351,26.045000,-81.666900,22609828.54,6346.34,4617.04,6,4,,120
8,pulvinar nulla,Matsoft,70,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,82 Continental Road,Baton Rouge,LA,70825,32.607600,-93.752600,2502006.00,6617.94,2968.83,6,5,,64
5,mattis odio,Regrant,75,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",92969 Anthes Lane,Lancaster,KY,40444,29.681300,-82.353900,21895315.14,3298.26,563.46,10,4,,32
9,eros suspendisse accumsan,Konklux,54,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.",4332 Union Crossing,Mount Vernon,AL,36560,35.284000,-81.189700,26049682.51,6164.73,5920.93,9,2,,279
10,quis odio consequat,Rank,76,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.",57 Continental Court,Starbuck,MN,56381,61.108900,-149.440300,19255414.98,3878.56,4124.08,8,4,,125
11,amet nulla,Matsoft,40,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",07965 Maryland Drive,Bridgewater,IA,50837,39.626900,-119.708100,10217507.08,6815.83,444.74,8,2,,292
12,sollicitudin vitae consectetuer,Cardify,94,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.",37 New Castle Road,Vienna,MO,65582,40.728600,-111.662700,24445080.53,4097.55,8484.50,6,5,,184
13,quis tortor,Kanlam,62,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.",285 Anzinger Avenue,Pine Grove,WV,26419,38.831800,-77.288800,23181532.77,4796.29,7583.86,6,3,,112
14,tortor sollicitudin mi,Toughjoyfax,91,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.",0 Fallview Circle,Leander,TX,78641,30.216600,-97.850800,14201704.19,3817.11,4888.41,6,5,,225
15,viverra,Tampflex,98,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",6 Westridge Street,Inavale,NE,68952,61.153500,-149.828900,9545330.00,2131.56,4673.03,8,4,,114
16,mattis nibh,Veribet,66,"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",674 Hoard Place,Byromville,GA,31007,29.717900,-95.426300,22033125.19,5726.79,7239.04,6,2,,254
17,condimentum curabitur,Home Ing,75,"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.",7 Sloan Crossing,Richmond,KS,66080,38.189000,-85.676800,10517834.76,980.15,1180.76,7,2,,225
18,rutrum nulla,Cardify,92,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,083 Merrick Road,Allison Park,PA,15101,38.880800,-77.113000,9241115.00,4327.03,1648.92,5,3,,175
19,nisl ut,Mat Lam Tam,70,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",04788 Burning Wood Alley,Mount Pleasant,TN,38474,38.246700,-85.685300,12563882.33,6736.82,4309.18,8,3,,78
20,mauris viverra diam,Cardify,32,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.",4 7th Junction,Avon Park,FL,33826,33.302200,-112.122600,23784198.78,1124.45,6782.84,5,2,,274
26,cubilia curae duis,Konklab,61,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.",9 Dryden Plaza,New Milford,NY,10959,38.893300,-77.014600,15976111.63,2363.75,4730.13,9,4,,80
27,aliquam quis turpis,Transcof,59,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,4 Meadow Vale Drive,Hazleton,PA,18202,32.305200,-106.786300,17153690.29,1787.73,167.62,8,2,,89
28,integer,Voltsillam,70,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",596 Eagan Center,Whitethorn,CA,95589,45.507800,-122.689700,8529052.00,5353.32,9994.83,6,4,,77
29,dui vel sem,Ronstring,50,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,8205 Elmside Alley,Seattle,WA,98199,40.081000,-82.938300,13565969.44,4731.74,3707.83,6,5,,281
30,luctus,Opela,58,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",75 Lakewood Avenue,Farmdale,OH,44417,39.441000,-84.575700,5002065.00,5972.07,8560.30,10,5,,74
31,faucibus,Hatity,46,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",2 Hoepker Circle,Adena,OH,43901,43.017400,-87.569700,18869972.89,5771.39,5606.03,9,2,,288
32,nunc proin at,Holdlamis,54,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",410 Sauthoff Drive,Jewell Ridge,VA,24622,34.004700,-84.153200,6349595.01,1338.23,8240.58,5,3,,234
33,interdum eu,Sonair,74,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,9 Charing Cross Lane,Bishop,CA,93515,39.285600,-76.689900,15466855.53,7659.57,4463.39,5,2,,138
34,lectus suspendisse,Subin,99,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,6461 Nancy Drive,Metairie,LA,70011,31.203400,-92.526900,20517793.69,5294.96,5796.19,9,2,,240
35,ullamcorper augue,Voltsillam,20,Sed ante. Vivamus tortor. Duis mattis egestas metus.,163 Express Plaza,Lovelady,TX,75851,37.763900,-97.426900,12625716.54,6712.02,6600.63,6,3,,121
36,donec,Zoolab,98,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",726 Corry Plaza,Columbia,MO,65217,43.063100,-89.313300,19526270.86,850.88,655.37,8,5,,16
37,justo,Sonair,90,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",8178 Old Gate Parkway,Nashville,TN,37242,40.695000,-112.000100,18093967.19,1179.02,1998.34,6,5,,298
